DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
14-06-27 09:30:05,MSCC_PRGS,24.63,27.01,-108,21.92,24.30,120,28.14,0.56
14-06-27 09:50:10,PNR_DOX,73.01,72.72,36,46.35,46.17,-57,-1.72,-0.01
14-07-01 10:00:15,IILG_FLY,23.15,22.32,116,13.85,14.45,-216,-226.65,-3.97
14-07-08 09:30:15,BRKR_ININ,21.20,23.65,-128,66.19,55.64,40,-736.37,-13.70
14-07-09 13:32:00,PMCS_SPIL,7.60,7.45,353,8.51,8.26,-326,22.01,0.49
14-07-09 15:12:50,EZA_EWH,69.12,69.78,38,21.22,21.04,-125,45.87,0.89
14-07-11 09:30:05,CEB_GPX,65.73,67.63,40,24.48,24.81,-107,39.49,0.78
14-07-15 09:30:10,IILG_FLY,21.38,21.70,-125,13.96,14.32,192,27.13,0.54
14-07-16 09:30:15,PMCS_SPIL,7.27,7.27,367,8.31,7.94,-331,116.15,2.23
14-07-17 10:51:05,CXO_TCP,133.20,144.82,-20,50.37,52.72,51,-113.98,-2.15
14-07-18 09:30:00,PMCS_SPIL,7.28,7.23,-360,7.82,7.76,322,-4.97,-0.01
14-07-23 10:50:40,PMCS_SPIL,7.47,7.25,-352,7.73,7.73,332,71.53,1.47
14-07-25 09:50:10,CEB_GPX,68.21,65.06,-38,24.02,23.58,106,71.76,1.42
14-07-29 14:23:00,CXO_TCP,147.02,146.56,17,53.09,52.88,-47,0.86,0.04
14-07-30 12:41:35,NX_IR,19.62,17.51,138,59.90,60.98,-46,-342.75,-6.24
14-08-04 12:21:25,ALKS_MNTA,51.51,42.33,-51,12.62,10.72,190,105.99,2.14
14-08-06 09:50:10,IILG_FLY,21.28,22.57,124,14.52,14.73,-185,118.66,2.26
14-08-07 09:30:10,BRKR_ININ,23.06,20.15,-116,52.71,43.68,51,-124.50,-2.29
14-08-08 09:30:15,IILG_FLY,21.92,21.45,119,14.87,14.77,-177,-40.71,-0.75
14-08-11 09:41:05,PNR_DOX,72.03,67.97,37,46.38,44.56,-57,-47.72,-0.87
14-08-12 11:00:45,EZA_EWH,71.77,71.50,36,22.01,21.85,-118,8.35,0.19
14-08-15 12:31:30,CEB_GPX,63.20,65.15,41,25.20,24.65,-112,140.91,2.63
14-08-20 14:22:25,MSCC_PRGS,26.79,25.14,100,24.51,23.21,-121,-8.13,-0.12
14-08-21 09:30:15,ALKS_MNTA,41.70,44.10,63,11.30,11.47,-235,109.16,2.09
14-08-22 09:30:20,PMCS_SPIL,6.78,7.16,-383,6.83,7.43,366,68.84,1.45
14-08-27 13:11:50,EZA_EWH,70.75,71.96,37,22.03,22.29,-119,12.57,0.26
14-09-02 09:30:15,IILG_FLY,21.76,21.42,120,14.69,14.53,-178,-12.85,-0.22
14-09-03 12:31:30,CRH_MLM,27.40,23.80,98,119.92,128.77,-22,-548.18,-10.27
14-09-04 09:31:00,SSL_APD,59.04,59.60,45,130.32,132.89,-21,-29.77,-0.53
14-09-05 10:40:45,CNX_BHI,45.72,39.75,58,73.80,67.17,-36,-108.77,-2.02
14-09-11 12:01:15,PPS_TITN,52.32,53.51,-49,17.22,14.02,148,-532.70,-10.39
