DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
13-10-18 12:41:35,PPS_TITN,45.12,46.14,-42,16.09,17.03,110,59.17,1.61
13-10-21 14:22:25,DEL_CVCO,65.41,65.13,29,60.51,58.77,-32,46.06,1.20
13-10-22 09:33:05,PNR_DOX,64.72,64.50,-29,36.65,37.82,48,61.33,1.69
13-10-22 09:50:10,MSCC_PRGS,24.26,26.55,79,25.48,26.63,-80,87.16,2.20
13-10-22 10:40:35,PMCS_SPIL,6.77,6.94,-281,5.99,6.20,313,17.24,0.46
13-10-22 11:00:45,CXO_TCP,111.34,115.13,-17,48.96,51.28,35,15.51,0.43
13-10-22 11:30:05,MTW_TEX,19.73,19.68,97,34.29,34.91,-59,-42.62,-1.08
13-10-28 09:32:25,MTW_TEX,19.52,20.61,106,36.13,35.56,-59,147.99,3.52
13-10-28 09:40:00,ALKS_MNTA,34.74,36.14,59,16.94,16.55,-126,130.84,3.13
13-10-28 09:40:05,PNR_DOX,63.86,66.56,32,37.97,38.20,-55,72.47,1.75
13-10-28 09:40:05,CRH_MLM,24.20,24.31,-79,99.17,99.83,18,1.73,0.05
13-10-28 11:10:50,PMCS_SPIL,6.58,6.70,315,6.01,6.00,-352,40.52,0.97
13-10-28 11:51:10,IILG_FLY,23.38,24.50,-81,13.92,14.64,132,2.80,0.08
13-10-28 14:32:30,HOT_AAWW,66.31,74.26,-28,43.85,50.68,40,49.19,1.36
13-10-29 09:30:10,PMCS_SPIL,6.86,5.77,-302,6.00,6.00,337,325.04,7.94
13-10-29 10:00:15,IILG_FLY,24.54,24.70,84,14.87,14.76,-141,27.86,0.67
13-10-29 11:31:00,TAL_CGI,47.09,47.86,-40,18.56,18.15,96,-71.33,-1.95
13-10-30 09:31:20,CXO_TCP,108.14,115.02,19,50.25,51.49,-42,77.09,1.85
13-10-30 12:21:25,BRKR_ININ,20.32,20.70,102,64.44,62.74,-33,93.51,2.23
13-10-30 14:32:30,ALKS_MNTA,36.56,35.61,-56,16.18,16.40,120,78.58,1.97
13-10-31 09:40:40,CEB_GPX,73.49,74.56,-26,26.40,27.09,69,18.19,0.49
13-10-31 11:10:50,ISBC_SCBT,22.32,23.94,-85,56.19,60.41,33,0.07,0.00
13-10-31 13:30:10,MTW_TEX,20.20,19.67,-102,35.20,35.13,57,48.87,1.20
13-11-01 09:30:15,EZA_EWH,65.60,65.33,-29,20.48,20.48,91,6.57,0.17
13-11-01 10:00:15,DEL_CVCO,65.42,63.48,31,59.87,57.62,-34,14.97,0.37
13-11-01 10:40:35,BRKR_ININ,18.01,19.26,116,60.37,58.24,-38,224.37,5.12
13-11-01 15:02:45,ADSK_RSTI,40.40,41.56,47,25.08,25.39,-78,28.73,0.75
13-11-04 09:30:20,LH_STE,98.85,101.69,19,43.87,45.59,-43,-21.52,-0.57
13-11-04 11:41:05,PPS_TITN,45.80,45.72,43,17.32,16.94,-116,39.17,0.98
13-11-04 12:31:50,CXO_TCP,109.49,111.81,19,50.08,49.00,-43,88.99,2.10
13-11-05 11:10:50,IILG_FLY,24.11,24.96,87,14.42,14.56,-148,51.76,1.25
13-11-06 09:31:00,CRH_MLM,24.90,25.24,84,102.80,101.11,-20,60.86,1.50
13-11-06 09:32:10,PNR_DOX,67.97,68.35,-30,38.42,39.76,52,56.88,1.44
13-11-06 09:50:10,IILG_FLY,24.75,25.08,-85,14.65,14.61,142,-34.80,-0.80
13-11-06 10:00:20,SSL_APD,49.17,49.66,-38,106.02,109.96,17,47.19,1.32
13-11-07 09:36:55,CRH_MLM,25.26,25.32,-83,100.10,103.11,20,53.71,1.34
13-11-07 13:42:40,MYD_BNA,13.10,13.65,-145,9.69,10.01,194,-18.65,-0.44
13-11-08 10:21:40,AMG_CFNL,182.25,198.18,-10,16.54,17.31,107,-78.17,-2.14
13-11-08 10:50:40,CXO_TCP,108.35,110.09,19,49.36,47.96,-43,91.73,2.23
13-11-11 09:44:45,DEL_CVCO,63.32,61.30,33,58.59,56.87,-36,-6.01,-0.11
13-11-11 10:20:25,IILG_FLY,24.97,24.67,84,15.10,14.55,-144,52.94,1.27
13-11-11 11:58:50,CRH_MLM,25.31,25.01,82,104.48,100.62,-20,51.08,1.26
13-11-11 12:31:30,ALKS_MNTA,36.12,36.94,58,17.01,16.97,-123,51.30,1.26
13-11-14 09:30:10,IILG_FLY,24.72,25.04,-78,14.46,14.57,132,-11.67,-0.27
13-11-15 13:32:00,TAL_CGI,52.97,52.96,-39,18.78,19.45,104,68.94,1.75
13-11-15 15:55:55,CRH_MLM,25.69,25.67,-75,100.35,102.86,18,45.18,1.25
13-11-18 09:33:10,MTW_TEX,19.89,19.60,105,36.23,35.32,-58,21.14,0.54
13-11-18 10:10:25,CXO_TCP,111.90,109.42,-18,46.72,47.71,40,83.18,2.18
13-11-20 14:12:20,PPS_TITN,45.29,43.87,46,17.36,16.85,-122,-4.30,-0.07
13-11-21 10:30:30,IILG_FLY,24.61,25.40,79,14.73,14.95,-136,31.31,0.83
13-11-22 14:32:30,SSL_APD,50.22,50.21,-38,108.36,110.74,17,39.67,1.09
13-11-25 09:30:20,PNR_DOX,68.17,70.61,30,39.38,40.70,-53,1.86,0.08
13-11-25 11:41:05,IILG_FLY,25.52,25.71,-76,14.74,15.09,129,29.14,0.79
13-11-25 11:51:10,PMCS_SPIL,5.93,5.94,351,6.04,5.69,-391,135.96,3.16
13-11-26 09:30:20,MTW_TEX,19.22,19.95,101,35.41,36.06,-56,36.11,0.95
13-11-26 10:10:30,TAL_CGI,54.01,56.10,36,20.58,20.85,-98,47.50,1.23
13-11-26 11:31:00,IILG_FLY,25.59,25.93,76,15.21,15.21,-130,24.27,0.65
13-11-27 09:33:00,CRH_MLM,25.39,25.66,-76,99.86,98.00,19,-57.48,-1.47
13-11-27 09:40:10,LH_STE,104.78,103.22,-19,45.41,46.19,43,61.66,1.60
13-11-29 09:30:15,MSCC_PRGS,20.51,24.30,103,25.52,26.37,-98,305.70,6.66
13-12-02 09:30:30,NX_IR,18.29,17.70,104,65.70,56.93,-29,191.90,5.08
13-12-02 13:21:55,AMG_CFNL,200.87,202.39,9,17.62,17.35,-103,40.18,1.14
